topic, metric, value, alpha, gamma, eta, inference, dataset
14,itd,9.84211,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
15,pmi,52.1839,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
15,coh,-292.613,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
15,itd,9.78947,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
16,pmi,280.77,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
16,coh,-188.542,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
16,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
17,pmi,210.781,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
17,coh,-231.026,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
17,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
18,pmi,55.5747,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
18,coh,-263.776,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
18,itd,10,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
19,pmi,44.5627,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
19,coh,-220.669,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
19,itd,9.68421,1.00E-05,1.00E-05,0.000154,sa,ap-50-set3
